source_field,source_value,sample_count,target_individual,mapping_status,notes
colour_group_name,Black,33,:Black,exact,"Direct color individual exists."
colour_group_name,White,12,:White,exact,"Direct color individual exists."
colour_group_name,Dark Blue,7,:Blue,normalized,"Use ontology :Blue unless a dark-blue individual is added."
colour_group_name,Dark Grey,6,:Grey,normalized,"Use ontology :Grey unless shade-specific colors are added."
colour_group_name,Light Pink,6,:Pink,normalized,"Use ontology :Pink unless shade-specific colors are added."
colour_group_name,Beige,5,:Beige,exact,"Direct color individual exists in v2."
colour_group_name,Light Grey,5,:Grey,normalized,"Use ontology :Grey unless shade-specific colors are added."
colour_group_name,Grey,4,:Grey,exact,"Direct color individual exists in v2."
colour_group_name,Yellowish Brown,2,:Brown,normalized,"Closest ontology color is :Brown."
colour_group_name,Light Beige,2,:Beige,normalized,"Use ontology :Beige unless shade-specific colors are added."
colour_group_name,Pink,2,:Pink,exact,"Direct color individual exists in v2."
colour_group_name,Gold,2,,needs_ontology_extension,"No :Gold color individual exists."
colour_group_name,Silver,2,,needs_ontology_extension,"No :Silver color individual exists."
colour_group_name,Light Blue,2,:Blue,normalized,"Use ontology :Blue unless shade-specific colors are added."
colour_group_name,Dark Pink,2,:Pink,normalized,"Use ontology :Pink unless shade-specific colors are added."
colour_group_name,Light Turquoise,2,,needs_ontology_extension,"No :Turquoise color individual exists."
colour_group_name,Off White,1,:White,normalized,"Closest ontology color is :White."
colour_group_name,Dark Red,1,:Red,normalized,"Use ontology :Red unless shade-specific colors are added."
colour_group_name,Light Orange,1,:Orange,normalized,"Use ontology :Orange unless shade-specific colors are added."
colour_group_name,Greyish Beige,1,:Beige,normalized,"Closest ontology color is :Beige."
colour_group_name,Blue,1,:Blue,exact,"Direct color individual exists."
colour_group_name,Yellow,1,:Yellow,exact,"Direct color individual exists."

