source_field,source_value,sample_count,target_class,mapping_status,notes
product_type_name,Pyjama jumpsuit/playsuit,16,:ClothingItem,broad_fallback,"No sleepwear or jumpsuit class exists in the ontology yet."
product_type_name,Trousers,13,:Trouser,exact,"Ontology uses singular class name :Trouser."
product_type_name,Leggings/Tights,13,:Bottom,broad_fallback,"No leggings/tights class exists; lower-body garment."
product_type_name,Socks,12,:ClothingItem,needs_ontology_extension,"No socks/hosiery/underwear class exists in the ontology."
product_type_name,Bra,11,:ClothingItem,needs_ontology_extension,"No underwear class exists in the ontology."
product_type_name,Sweater,7,:Sweater,exact,"Direct ontology class exists."
product_type_name,Underwear Tights,7,:ClothingItem,needs_ontology_extension,"No underwear/tights class exists in the ontology."
product_type_name,Hair clip,5,:Accessory,broad_fallback,"Accessory is available, but no hair-accessory subclass exists."
product_type_name,Top,4,:Top,exact,"Direct ontology class exists."
product_type_name,Bodysuit,4,:Top,broad_fallback,"Likely upper-body garment, but no bodysuit class exists."
product_type_name,Vest top,3,:Top,broad_fallback,"No vest-top class exists; maps to top-level :Top."
product_type_name,Hair string,2,:Accessory,broad_fallback,"Accessory is available, but no hair-accessory subclass exists."
product_type_name,Umbrella,1,,out_of_scope,"Umbrella is an accessory in retail data but outside the current clothing ontology scope."
product_type_name,Unknown,1,,skip,"Cannot map unknown product type safely."
product_type_name,Hoodie,1,:Hoodie,exact,"Direct ontology class exists."
product_type_name,T-shirt,0,:T-Shirt,exact,"Direct ontology class :T-Shirt exists."
product_type_name,T-Shirt,0,:T-Shirt,exact,"Direct ontology class :T-Shirt exists."
product_type_name,Shirt,0,:Blouse,normalized,"H&M uses Shirt for what the ontology calls Blouse (loose upper-body garment)."
product_type_name,Blouse,0,:Blouse,exact,"Direct ontology class exists."
product_type_name,Polo shirt,0,:Top,broad_fallback,"No polo-shirt subclass; maps to :Top."
product_type_name,Cardigan,0,:Sweater,normalized,"A knitted upper-body garment; closest match is :Sweater."
product_type_name,Shorts,0,:Short,exact,"Ontology uses singular :Short."
product_type_name,Short,0,:Short,exact,"Direct ontology class exists."
product_type_name,Skirt,0,:Skirt,exact,"Direct ontology class exists."
product_type_name,Jean,0,:Jean,exact,"Direct ontology class exists."
product_type_name,Jeans,0,:Jean,normalized,"H&M plural form; maps to :Jean."
product_type_name,Dress,0,:Bottom,broad_fallback,"No Dress class in ontology; closest is :Bottom as a lower/full-body garment."
product_type_name,Jumpsuit/Playsuit,0,:ClothingItem,broad_fallback,"Full-body garment; no specific class exists."
product_type_name,Jacket,0,:Jacket,exact,"Direct ontology class exists."
product_type_name,Coat,0,:Coat,exact,"Direct ontology class exists."
product_type_name,Blazer,0,:Jacket,normalized,"Blazer is a tailored jacket; maps to :Jacket."
product_type_name,Waistcoat,0,:Jacket,broad_fallback,"A sleeveless jacket-like garment; closest is :Jacket."
product_type_name,Sneakers,0,:SportsShoes,normalized,"H&M Sneakers map to :SportsShoes."
product_type_name,Trainers,0,:SportsShoes,normalized,"H&M Trainers map to :SportsShoes."
product_type_name,Boots,0,:Boots,exact,"Direct ontology class exists."
product_type_name,Sandals,0,:Sandals,exact,"Direct ontology class exists."
product_type_name,Shoes,0,:FormalShoes,broad_fallback,"Generic shoes; maps to :FormalShoes as broad fallback."
product_type_name,Loafers,0,:FormalShoes,normalized,"Slip-on formal footwear."
product_type_name,Ballerinas,0,:FormalShoes,normalized,"Flat slip-on footwear; closest is :FormalShoes."
product_type_name,Flip flop,0,:Sandals,normalized,"Open toe flat footwear; closest is :Sandals."
product_type_name,Flat shoe,0,:FormalShoes,normalized,"Flat footwear; maps to :FormalShoes."
product_type_name,Heels,0,:FormalShoes,normalized,"Heeled footwear; closest is :FormalShoes."
product_type_name,Scarf,0,:Scarf,exact,"Direct ontology class exists."
product_type_name,Belt,0,:Belt,exact,"Direct ontology class exists."
product_type_name,Hat,0,:Hat,exact,"Direct ontology class exists."
product_type_name,Cap,0,:Hat,normalized,"Cap is a subtype of headwear; maps to :Hat."
product_type_name,Watch,0,:Watch,exact,"Direct ontology class exists."
product_type_name,Bag,0,,out_of_scope,"Bags are outside the current clothing ontology scope."
product_type_name,Wallet,0,,out_of_scope,"Wallets are outside the current clothing ontology scope."
product_type_name,Sunglasses,0,,out_of_scope,"Eyewear is outside the current clothing ontology scope."
product_type_name,Underwear,0,:ClothingItem,needs_ontology_extension,"No underwear class exists in the ontology."
product_type_name,Pyjama bottom,0,:ClothingItem,needs_ontology_extension,"Sleepwear; no specific class exists."
product_type_name,Pyjama top,0,:ClothingItem,needs_ontology_extension,"Sleepwear; no specific class exists."
product_type_name,Night gown,0,:ClothingItem,needs_ontology_extension,"Sleepwear; no specific class exists."
product_type_name,Bikini top,0,:ClothingItem,needs_ontology_extension,"Swimwear; no swimwear class exists."
product_type_name,Bikini bottom,0,:ClothingItem,needs_ontology_extension,"Swimwear; no swimwear class exists."
product_type_name,Swimwear,0,:ClothingItem,needs_ontology_extension,"Swimwear; no swimwear class exists."
product_type_name,Swimwear bottom,0,:ClothingItem,needs_ontology_extension,"Swimwear; no swimwear class exists."
product_type_name,Swimwear top,0,:ClothingItem,needs_ontology_extension,"Swimwear; no swimwear class exists."
product_type_name,Swimwear set,0,:ClothingItem,needs_ontology_extension,"Swimwear; no swimwear class exists."
product_type_name,Swimsuit,0,:ClothingItem,needs_ontology_extension,"One-piece swimwear; no swimwear class exists."
product_type_name,Sarong,0,:ClothingItem,needs_ontology_extension,"Beach wrap; no swimwear class exists."
