article_id,colour_group_code,colour_group_name,department_name,department_no,detail_desc,garment_group_name,garment_group_no,graphical_appearance_name,graphical_appearance_no,index_code,index_group_name,index_group_no,index_name,perceived_colour_master_id,perceived_colour_master_name,perceived_colour_value_id,perceived_colour_value_name,prod_name,product_code,product_group_name,product_type_name,product_type_no,section_name,section_no
108775015,9,Black,Jersey Basic,1676,Jersey top with narrow shoulder straps.,Jersey Basic,1002,Solid,1010016,A,Ladieswear,1,Ladieswear,5,Black,4,Dark,Strap top,108775,Garment Upper body,Vest top,253,Womens Everyday Basics,16
147339034,10,White,Baby basics,6515,Short-sleeved bodysuits in organic cotton jersey with press-studs at the crotch.,Jersey Basic,1002,All over pattern,1010001,G,Baby/Children,4,Baby Sizes 50-98,9,White,3,Light,6P SS BODY,147339,Garment Upper body,Bodysuit,256,Baby Essentials & Complements,44
176209040,73,Dark Blue,Jacket Street,5283,"Short, padded jacket with a jersey-lined hood and stand-up collar with a drawstring. Zip down the front, flap side pockets with a press-stud, one inner pocket, and ribbing at the cuffs and hem. Quilted lining.",Outdoor,1007,Solid,1010016,F,Menswear,3,Menswear,2,Blue,4,Dark,Mr Harrington w/hood,176209,Garment Upper body,Hoodie,308,Mens Outerwear,31
187949029,10,White,Baby Nightwear,6563,"Lightly padded all-in-one pyjamas in soft cotton jersey with press-studs down the front that continue down one leg, and ribbing at the cuffs and hems. Polyester padding.","Under-, Nightwear",1017,All over pattern,1010001,G,Baby/Children,4,Baby Sizes 50-98,9,White,3,Light,Padded pyjama,187949,Nightwear,Pyjama jumpsuit/playsuit,295,Baby Essentials & Complements,44
194242047,9,Black,Young Girl Jersey Basic,7930,Soft organic cotton jersey leggings with an elasticated waist.,Jersey Basic,1002,Solid,1010016,I,Baby/Children,4,Children Sizes 134-170,5,Black,4,Dark,HONEY L/L Leggings,194242,Garment Lower body,Leggings/Tights,273,Girls Underwear & Basics,79
212042070,10,White,Divided Shoes,3929,Cotton trainers with closed lacing and a loop at the back. Fabric linings and insoles and rubber soles.,Shoes,1020,Solid,1010016,D,Divided,2,Divided,9,White,3,Light,Mimmi sneaker,212042,Shoes,Sneakers,94,Divided Accessories,52
217727003,9,Black,Socks,3610,Shaftless socks. 80 denier.,Socks and Tights,1021,Solid,1010016,B,Ladieswear,1,Lingeries/Tights,5,Black,4,Dark,Polly 3p minishaftless,217727,Socks & Tights,Socks,302,"Womens Nightwear, Socks & Tigh",62
226959007,9,Black,Socks,3610,"Over-the-knee socks in a soft, fine knit containing some wool.",Socks and Tights,1021,Solid,1010016,B,Ladieswear,1,Lingeries/Tights,5,Black,4,Dark,Astaire 1p Overknee,226959,Socks & Tights,Socks,302,"Womens Nightwear, Socks & Tigh",62
237347052,31,Light Orange,Jersey Basic,1676,"Jacket in sweatshirt fabric with a lined drawstring hood, zip down the front, side pockets and ribbing at the cuffs and hem.",Jersey Basic,1002,Solid,1010016,A,Ladieswear,1,Ladieswear,3,Orange,1,Dusty Light,Theron,237347,Garment Upper body,Hoodie,308,Womens Everyday Basics,16
244853002,7,Grey,Baby basics,6515,"Jacket in sweatshirt fabric made from organic cotton with a jersey-lined hood, zip at the front, and ribbing at the cuffs and hem. Brushed inside.",Jersey Basic,1002,Melange,1010010,G,Baby/Children,4,Baby Sizes 50-98,12,Grey,1,Dusty Light,Basic Hood,244853,Garment Upper body,Hoodie,308,Baby Essentials & Complements,44
254457031,73,Dark Blue,Baby basics,6515,Short-sleeved dress in soft organic cotton jersey.,Jersey Basic,1002,Stripe,1010017,G,Baby/Children,4,Baby Sizes 50-98,2,Blue,4,Dark,Basic SS dress,254457,Garment Full body,Dress,265,Baby Essentials & Complements,44
264713028,17,Yellowish Brown,Shoes / Boots inactive from s5,3630,"Loafers in imitation suede with moccasin seams, decorative laces, fabric linings and insoles and rubber soles.",Shoes,1020,Solid,1010016,F,Menswear,3,Menswear,13,Brown,2,Medium Dusty,Al Car Shoe,264713,Shoes,Other shoe,89,Men Shoes,27
270381004,5,Gold,Sunglasses,8888,"Sunglasses with plastic and metal frames and tinted, UV-protective lenses.",Accessories,1019,Solid,1010016,C,Ladieswear,1,Ladies Accessories,15,Metal,5,Bright,Classic Clubba,270381,Accessories,Sunglasses,81,Womens Small accessories,66
283236020,62,Purple,Shirt,5783,"Shirt in a cotton weave with a button-down collar, classic front and yoke at the back. Open chest pocket, short sleeves with sewn-in turn-ups, and a rounded hem. Regular Fit – a classic fit with good room for movement and a gently tapered waist to create a comfortable, tailored silhouette.",Shirts,1011,Chambray,1010024,F,Menswear,3,Menswear,6,Lilac Purple,3,Light,Howie SS Shirt,283236,Garment Upper body,Shirt,259,Contemporary Street,55
290519017,52,Pink,Baby basics,6515,"Cardigan in soft organic cotton sweatshirt fabric with a stand-up collar, press-studs down the front, and ribbing around the neckline, cuffs and hem. Soft brushed inside.",Jersey Basic,1002,Solid,1010016,G,Baby/Children,4,Baby Sizes 50-98,4,Pink,2,Medium Dusty,Basic co/fl cardigan,290519,Garment Upper body,Cardigan,245,Baby Essentials & Complements,44
293433001,10,White,Kids Girl S&T,7921,"Tights in a soft, fine knit with an elasticated waist.",Socks and Tights,1021,Solid,1010016,H,Baby/Children,4,Children Sizes 92-140,9,White,3,Light,2-p basic cotton tights SG,293433,Socks & Tights,Underwear Tights,304,Girls Underwear & Basics,79
296366013,32,Orange,Hair Accessories,4343,Hairband with leaf and flower appliqués.,Accessories,1019,Solid,1010016,C,Ladieswear,1,Ladies Accessories,3,Orange,5,Bright,Flirty Fiffi flower headband,296366,Accessories,Hair/alice band,74,Womens Small accessories,66
300024064,73,Dark Blue,Woven bottoms,2031,"Jeans in washed stretch denim with fake front pockets, real back pockets and skinny legs. Wide ribbing at the waist for optimum comfort.",Trousers,1009,Denim,1010023,A,Ladieswear,1,Ladieswear,2,Blue,4,Dark,Superskinny,300024,Garment Lower body,Trousers,272,Mama,8
304778010,43,Dark Red,Shopbasket Socks,3611,"Long, thick socks in a jacquard knit with a pile lining.",Socks and Tights,1021,All over pattern,1010001,B,Ladieswear,1,Lingeries/Tights,18,Red,4,Dark,Cosy 1p Lounge sock,304778,Socks & Tights,Socks,302,"Womens Nightwear, Socks & Tigh",62
308158009,51,Light Pink,Baby basics,6515,Long-sleeved bodysuit in soft organic cotton jersey with a rounded collar and press-studs at the back and crotch. Scalloped edges at the collar and cuffs.,Jersey Basic,1002,Solid,1010016,G,Baby/Children,4,Baby Sizes 50-98,4,Pink,1,Dusty Light,LS body girly with collar,308158,Garment Upper body,Bodysuit,256,Baby Essentials & Complements,44
312829010,9,Black,Scarves,3409,"Tube scarf in a soft knit. Width 60 cm, circumference 180 cm.",Accessories,1019,Contrast,1010020,C,Ladieswear,1,Ladies Accessories,5,Black,4,Dark,Cobra Tube.,312829,Accessories,Scarf,80,Womens Big accessories,65
316553027,19,Greenish Khaki,Dresses,1344,"Short jersey dress with narrow shoulder straps, a seam at the waist and bell-shaped skirt.",Dresses Ladies,1013,Solid,1010016,D,Divided,2,Divided,20,Khaki green,2,Medium Dusty,Washington dress,316553,Garment Full body,Dress,265,Divided Collection,53
319906002,8,Dark Grey,Shoes,3629,Imitation suede slippers with soft pile linings and fluted soles.,Shoes,1020,Solid,1010016,F,Menswear,3,Menswear,12,Grey,4,Dark,Steve Slipper,319906,Shoes,Slippers,93,Men Shoes,27
325087036,8,Dark Grey,Casual Lingerie,1334,"Push-up bras in cotton jersey with lace details and underwired, moulded, padded cups for a larger bust and fuller cleavage. Adjustable shoulder straps and a hook-and-eye fastening at the back.","Under-, Nightwear",1017,Solid,1010016,B,Ladieswear,1,Lingeries/Tights,12,Grey,4,Dark,Kelly (Melbourne) PUSH 2p,325087,Underwear,Bra,306,Womens Lingerie,61
331062008,10,White,Baby Nightwear,6563,Fleece Santa suit with press-stud fastenings and a hat with a contrasting colour trim and fleece pompom on the top.,"Under-, Nightwear",1017,Solid,1010016,G,Baby/Children,4,Baby Sizes 50-98,9,White,3,Light,Christmas pyjama (1),331062,Nightwear,Pyjama jumpsuit/playsuit,295,Baby Essentials & Complements,44
337991001,9,Black,Belts,7389,Leather belt with a metal buckle. Width 3 cm.,Accessories,1019,Solid,1010016,F,Menswear,3,Menswear,5,Black,4,Dark,Sigge Dressed Belt,337991,Accessories,Belt,67,Men Accessories,25
342034019,10,White,Scarves,3409,"Scarf in a soft, loose weave with fringes on the short sides. Size 100x200 cm.",Accessories,1019,Solid,1010016,C,Ladieswear,1,Ladies Accessories,-1,Unknown,3,Light,Indiana Solid Scarf,342034,Accessories,Scarf,80,Womens Big accessories,65
348330033,73,Dark Blue,Baby basics,6515,Sleeveless bodysuits in soft organic cotton jersey with press-studs at the crotch.,Jersey Basic,1002,Stripe,1010017,G,Baby/Children,4,Baby Sizes 50-98,2,Blue,4,Dark,2P Tanktop body Mixed,348330,Garment Upper body,Bodysuit,256,Baby Essentials & Complements,44
350911004,42,Red,Small Accessories,9986,Pre-tied bow tie in a satin weave with an adjustable strap and fastening at the back. Width 11 cm.,Accessories,1019,Solid,1010016,F,Menswear,3,Menswear,18,Red,7,Medium,Bowtie Kalle,350911,Accessories,Tie,82,Men Accessories,25
354307004,15,Greyish Beige,Shoes / Boots inactive from s5,3630,"Derby shoes with open lacing, fabric insoles, and imitation leather and fabric linings. Rubber soles.",Shoes,1020,Solid,1010016,F,Menswear,3,Menswear,1,Mole,2,Medium Dusty,Akoni Flatshoe,354307,Shoes,Other shoe,89,Men Shoes,27
357792009,40,Other Red,Sunglasses,8888,"Sunglasses with plastic frames, metal side pieces and UV-protective, tinted lenses.",Accessories,1019,Solid,1010016,C,Ladieswear,1,Ladies Accessories,18,Red,5,Bright,Cool Alessa Cat,357792,Accessories,Sunglasses,81,Womens Small accessories,66
362997011,73,Dark Blue,Men Sport Woven,8559,Sports vest top in fast-drying functional fabric with a racer back that has a rubber print and ventilating hole pattern.,Jersey Fancy,1005,Solid,1010016,S,Sport,26,Sport,2,Blue,4,Dark,Miami tanktop,362997,Garment Upper body,Vest top,253,Men H&M Sport,22
368038011,31,Light Orange,Hair Accessories,4343,Plastic hair claw. Width 4.5 cm.,Accessories,1019,Metallic,1010011,C,Ladieswear,1,Ladies Accessories,3,Orange,3,Light,Biq Square Claw,368038,Accessories,Hair clip,72,Womens Small accessories,66
372860041,8,Dark Grey,Shopbasket Socks,3611,Fine-knit trainer socks in a soft cotton blend.,Socks and Tights,1021,Melange,1010010,B,Ladieswear,1,Lingeries/Tights,12,Grey,4,Dark,Basic 7p Shaftless,372860,Socks & Tights,Socks,302,"Womens Nightwear, Socks & Tigh",62
375917005,17,Yellowish Brown,Accessories,9985,Hat in felted fabric with a grosgrain band. Width of brim 6 cm.,Accessories,1019,Solid,1010016,F,Menswear,3,Menswear,13,Brown,4,Dark,Hat Frank Fedora(1),375917,Accessories,Felt hat,509,Men Accessories,25
378135034,14,Dark Beige,Knitwear,5831,"Jumper in soft, fine-knit merino wool with a round neck, long sleeves and ribbing at the cuffs and hem.",Knitwear,1003,Melange,1010010,F,Menswear,3,Menswear,1,Mole,2,Medium Dusty,R-Neck Pisa TVP R,378135,Garment Upper body,Sweater,252,Men Suits & Tailoring,23
380193010,7,Grey,Jersey Basic,5883,"Vest top in cotton jersey with a ribbed neckline, deep armholes with raw edges, and slits in the sides.",Jersey Basic,1002,Melange,1010010,F,Menswear,3,Menswear,12,Grey,2,Medium Dusty,Cameron Cut Off,380193,Garment Upper body,Vest top,253,Men Underwear,26
