items,set_id
"[{""index"": 1, ""item_id"": ""132621870""}, {""index"": 2, ""item_id"": ""153967122""}, {""index"": 3, ""item_id"": ""171169800""}, {""index"": 4, ""item_id"": ""162799044""}, {""index"": 5, ""item_id"": ""172538912""}, {""index"": 6, ""item_id"": ""172312529""}]",199244701
"[{""index"": 1, ""item_id"": ""162715806""}, {""index"": 2, ""item_id"": ""171888747""}, {""index"": 3, ""item_id"": ""173096665""}, {""index"": 4, ""item_id"": ""170904692""}, {""index"": 5, ""item_id"": ""172482221""}]",200742384
"[{""index"": 1, ""item_id"": ""180028994""}, {""index"": 2, ""item_id"": ""182218570""}, {""index"": 3, ""item_id"": ""180850592""}, {""index"": 4, ""item_id"": ""179806210""}, {""index"": 5, ""item_id"": ""181657245""}, {""index"": 6, ""item_id"": ""165695205""}]",206955877
"[{""index"": 1, ""item_id"": ""198643069""}, {""index"": 2, ""item_id"": ""206048471""}, {""index"": 3, ""item_id"": ""204007990""}, {""index"": 4, ""item_id"": ""200709959""}, {""index"": 5, ""item_id"": ""195973920""}]",220340816
"[{""index"": 1, ""item_id"": ""200139640""}, {""index"": 2, ""item_id"": ""156489567""}, {""index"": 3, ""item_id"": ""148693800""}, {""index"": 4, ""item_id"": ""200313980""}, {""index"": 5, ""item_id"": ""204650506""}]",219393187
"[{""index"": 1, ""item_id"": ""208870650""}, {""index"": 2, ""item_id"": ""207173723""}, {""index"": 3, ""item_id"": ""207871410""}, {""index"": 4, ""item_id"": ""208870252""}]",221316971
"[{""index"": 1, ""item_id"": ""199376553""}, {""index"": 2, ""item_id"": ""203551771""}, {""index"": 3, ""item_id"": ""203552462""}, {""index"": 4, ""item_id"": ""175711802""}]",218460735
"[{""index"": 1, ""item_id"": ""210942072""}, {""index"": 2, ""item_id"": ""212839321""}, {""index"": 3, ""item_id"": ""213855157""}, {""index"": 4, ""item_id"": ""207459533""}]",224937990
"[{""index"": 1, ""item_id"": ""192511179""}, {""index"": 2, ""item_id"": ""187317072""}, {""index"": 3, ""item_id"": ""180362994""}, {""index"": 4, ""item_id"": ""191221027""}]",217183057
"[{""index"": 1, ""item_id"": ""173097736""}, {""index"": 2, ""item_id"": ""172685140""}, {""index"": 3, ""item_id"": ""164453126""}, {""index"": 4, ""item_id"": ""169982065""}, {""index"": 5, ""item_id"": ""169809127""}]",199287279
"[{""index"": 1, ""item_id"": ""213007746""}, {""index"": 2, ""item_id"": ""212992927""}, {""index"": 3, ""item_id"": ""214327110""}, {""index"": 4, ""item_id"": ""207668984""}, {""index"": 5, ""item_id"": ""181900351""}, {""index"": 6, ""item_id"": ""202212715""}]",225139325
"[{""index"": 1, ""item_id"": ""209966118""}, {""index"": 2, ""item_id"": ""70625358""}, {""index"": 3, ""item_id"": ""208664157""}, {""index"": 4, ""item_id"": ""193455194""}, {""index"": 5, ""item_id"": ""211421142""}, {""index"": 6, ""item_id"": ""161180948""}]",223613586
"[{""index"": 1, ""item_id"": ""158857944""}, {""index"": 2, ""item_id"": ""88909845""}, {""index"": 3, ""item_id"": ""119901618""}, {""index"": 4, ""item_id"": ""107732394""}, {""index"": 5, ""item_id"": ""166542899""}, {""index"": 6, ""item_id"": ""151124575""}]",206933845
"[{""index"": 1, ""item_id"": ""133932837""}, {""index"": 2, ""item_id"": ""161950492""}, {""index"": 3, ""item_id"": ""210326667""}, {""index"": 4, ""item_id"": ""209505560""}, {""index"": 5, ""item_id"": ""50235496""}, {""index"": 6, ""item_id"": ""200639682""}, {""index"": 7, ""item_id"": ""18877689""}]",222637665
"[{""index"": 1, ""item_id"": ""204211869""}, {""index"": 2, ""item_id"": ""204273384""}, {""index"": 3, ""item_id"": ""204472670""}, {""index"": 4, ""item_id"": ""204987992""}]",220189264
"[{""index"": 1, ""item_id"": ""205039314""}, {""index"": 2, ""item_id"": ""205037505""}, {""index"": 3, ""item_id"": ""202777492""}]",219816430
"[{""index"": 1, ""item_id"": ""209609138""}, {""index"": 2, ""item_id"": ""210544460""}, {""index"": 3, ""item_id"": ""174100841""}]",222964080
"[{""index"": 1, ""item_id"": ""114654675""}, {""index"": 2, ""item_id"": ""146875636""}, {""index"": 3, ""item_id"": ""158199633""}]",187821847
"[{""index"": 1, ""item_id"": ""117267686""}, {""index"": 2, ""item_id"": ""128309696""}]",133059337
"[{""index"": 1, ""item_id"": ""204925548""}, {""index"": 2, ""item_id"": ""213776990""}, {""index"": 3, ""item_id"": ""211226772""}, {""index"": 4, ""item_id"": ""212527990""}, {""index"": 5, ""item_id"": ""213944993""}, {""index"": 6, ""item_id"": ""208636482""}, {""index"": 7, ""item_id"": ""214409174""}]",224535216
"[{""index"": 1, ""item_id"": ""148741825""}, {""index"": 2, ""item_id"": ""127890350""}, {""index"": 3, ""item_id"": ""154436750""}, {""index"": 4, ""item_id"": ""155347210""}, {""index"": 5, ""item_id"": ""154617569""}, {""index"": 6, ""item_id"": ""155346980""}]",182943602
"[{""index"": 1, ""item_id"": ""110743844""}, {""index"": 2, ""item_id"": ""97417141""}, {""index"": 3, ""item_id"": ""106852706""}, {""index"": 4, ""item_id"": ""105272244""}, {""index"": 5, ""item_id"": ""109929028""}, {""index"": 6, ""item_id"": ""109094680""}]",125864349
"[{""index"": 1, ""item_id"": ""170205623""}, {""index"": 2, ""item_id"": ""160420622""}, {""index"": 3, ""item_id"": ""171281331""}, {""index"": 4, ""item_id"": ""166854109""}, {""index"": 5, ""item_id"": ""161519632""}, {""index"": 6, ""item_id"": ""167353946""}]",197948133
"[{""index"": 1, ""item_id"": ""101993130""}, {""index"": 2, ""item_id"": ""107333685""}, {""index"": 3, ""item_id"": ""126953299""}, {""index"": 4, ""item_id"": ""110772473""}, {""index"": 5, ""item_id"": ""102648117""}, {""index"": 6, ""item_id"": ""118626794""}]",146175434
"[{""index"": 1, ""item_id"": ""191328899""}, {""index"": 2, ""item_id"": ""191201889""}, {""index"": 3, ""item_id"": ""190411702""}, {""index"": 4, ""item_id"": ""193584878""}]",213226281
"[{""index"": 1, ""item_id"": ""75817384""}, {""index"": 2, ""item_id"": ""77419985""}, {""index"": 3, ""item_id"": ""74091674""}, {""index"": 4, ""item_id"": ""71364041""}, {""index"": 5, ""item_id"": ""44099851""}, {""index"": 6, ""item_id"": ""74928659""}, {""index"": 7, ""item_id"": ""69859088""}, {""index"": 8, ""item_id"": ""75700771""}]",75689451
"[{""index"": 1, ""item_id"": ""203989758""}, {""index"": 2, ""item_id"": ""203934247""}, {""index"": 3, ""item_id"": ""184624977""}, {""index"": 4, ""item_id"": ""201062581""}]",218740991
"[{""index"": 1, ""item_id"": ""211016756""}, {""index"": 2, ""item_id"": ""210822844""}, {""index"": 3, ""item_id"": ""204788520""}, {""index"": 4, ""item_id"": ""203914603""}, {""index"": 5, ""item_id"": ""164426080""}]",223283878
"[{""index"": 1, ""item_id"": ""198348970""}, {""index"": 2, ""item_id"": ""151371943""}, {""index"": 3, ""item_id"": ""182825962""}, {""index"": 4, ""item_id"": ""182029439""}, {""index"": 5, ""item_id"": ""158787305""}]",217262316
"[{""index"": 1, ""item_id"": ""148428284""}, {""index"": 2, ""item_id"": ""149211113""}, {""index"": 3, ""item_id"": ""140973019""}, {""index"": 4, ""item_id"": ""150151357""}, {""index"": 5, ""item_id"": ""152256775""}]",182075937
"[{""index"": 1, ""item_id"": ""173531714""}, {""index"": 2, ""item_id"": ""163923975""}, {""index"": 3, ""item_id"": ""168542440""}, {""index"": 4, ""item_id"": ""174108201""}]",200577254
"[{""index"": 1, ""item_id"": ""153347062""}, {""index"": 2, ""item_id"": ""21327665""}, {""index"": 3, ""item_id"": ""121087917""}, {""index"": 4, ""item_id"": ""154965883""}, {""index"": 5, ""item_id"": ""92579171""}]",183032057
"[{""index"": 1, ""item_id"": ""191321013""}, {""index"": 2, ""item_id"": ""204224738""}, {""index"": 3, ""item_id"": ""210549707""}, {""index"": 4, ""item_id"": ""191401906""}, {""index"": 5, ""item_id"": ""203409401""}, {""index"": 6, ""item_id"": ""163611974""}, {""index"": 7, ""item_id"": ""209022751""}, {""index"": 8, ""item_id"": ""196152886""}, {""index"": 9, ""item_id"": ""211021091""}]",222510899
"[{""index"": 1, ""item_id"": ""204165631""}, {""index"": 2, ""item_id"": ""209074952""}, {""index"": 3, ""item_id"": ""208729591""}, {""index"": 4, ""item_id"": ""207501690""}]",221654195
"[{""index"": 1, ""item_id"": ""70510470""}, {""index"": 2, ""item_id"": ""70588472""}, {""index"": 3, ""item_id"": ""62410442""}, {""index"": 4, ""item_id"": ""49731646""}, {""index"": 5, ""item_id"": ""69505674""}, {""index"": 6, ""item_id"": ""55316495""}]",65069483
"[{""index"": 1, ""item_id"": ""204084161""}, {""index"": 2, ""item_id"": ""200951415""}, {""index"": 3, ""item_id"": ""197167030""}, {""index"": 4, ""item_id"": ""132043223""}, {""index"": 5, ""item_id"": ""201060580""}, {""index"": 6, ""item_id"": ""198174448""}]",219269856
"[{""index"": 1, ""item_id"": ""177838111""}, {""index"": 2, ""item_id"": ""185845584""}, {""index"": 3, ""item_id"": ""181870088""}, {""index"": 4, ""item_id"": ""186597709""}, {""index"": 5, ""item_id"": ""181601193""}, {""index"": 6, ""item_id"": ""149748873""}]",209190085
"[{""index"": 1, ""item_id"": ""81584170""}, {""index"": 2, ""item_id"": ""107227181""}, {""index"": 3, ""item_id"": ""112032858""}, {""index"": 4, ""item_id"": ""117611678""}]",139137852
"[{""index"": 1, ""item_id"": ""203423054""}, {""index"": 2, ""item_id"": ""200097584""}, {""index"": 3, ""item_id"": ""182854983""}, {""index"": 4, ""item_id"": ""197587528""}, {""index"": 5, ""item_id"": ""202762250""}, {""index"": 6, ""item_id"": ""201469289""}, {""index"": 7, ""item_id"": ""195147934""}, {""index"": 8, ""item_id"": ""202746163""}]",218354785
"[{""index"": 1, ""item_id"": ""200555275""}, {""index"": 2, ""item_id"": ""207791923""}]",220785821
"[{""index"": 1, ""item_id"": ""212620947""}, {""index"": 2, ""item_id"": ""212600243""}, {""index"": 3, ""item_id"": ""212600538""}, {""index"": 4, ""item_id"": ""212617123""}]",223503521
"[{""index"": 1, ""item_id"": ""118522369""}, {""index"": 2, ""item_id"": ""133848165""}, {""index"": 3, ""item_id"": ""123929849""}, {""index"": 4, ""item_id"": ""137125337""}]",161808845
"[{""index"": 1, ""item_id"": ""158117230""}, {""index"": 2, ""item_id"": ""146187055""}, {""index"": 3, ""item_id"": ""158566407""}, {""index"": 4, ""item_id"": ""151983772""}, {""index"": 5, ""item_id"": ""142486059""}]",193200102
"[{""index"": 1, ""item_id"": ""199977324""}, {""index"": 2, ""item_id"": ""199745873""}, {""index"": 3, ""item_id"": ""204334536""}, {""index"": 4, ""item_id"": ""206218690""}, {""index"": 5, ""item_id"": ""207951368""}, {""index"": 6, ""item_id"": ""211023042""}]",224374412
"[{""index"": 1, ""item_id"": ""188068758""}, {""index"": 2, ""item_id"": ""178627372""}]",210022221
"[{""index"": 1, ""item_id"": ""186847366""}, {""index"": 2, ""item_id"": ""180874783""}, {""index"": 3, ""item_id"": ""127490108""}, {""index"": 4, ""item_id"": ""169794867""}, {""index"": 5, ""item_id"": ""190871924""}]",219216307
"[{""index"": 1, ""item_id"": ""162996731""}, {""index"": 2, ""item_id"": ""169152464""}, {""index"": 3, ""item_id"": ""101135627""}, {""index"": 4, ""item_id"": ""117877491""}, {""index"": 5, ""item_id"": ""195873414""}]",216585060
"[{""index"": 1, ""item_id"": ""140361461""}, {""index"": 2, ""item_id"": ""165723757""}, {""index"": 3, ""item_id"": ""160562061""}, {""index"": 4, ""item_id"": ""33750730""}, {""index"": 5, ""item_id"": ""133212408""}]",198147873
"[{""index"": 1, ""item_id"": ""176960529""}, {""index"": 2, ""item_id"": ""206408254""}, {""index"": 3, ""item_id"": ""141264282""}, {""index"": 4, ""item_id"": ""108484200""}, {""index"": 5, ""item_id"": ""204139064""}, {""index"": 6, ""item_id"": ""207810461""}]",220958461
"[{""index"": 1, ""item_id"": ""179084082""}, {""index"": 2, ""item_id"": ""187225322""}, {""index"": 3, ""item_id"": ""200033728""}, {""index"": 4, ""item_id"": ""195536297""}, {""index"": 5, ""item_id"": ""200243377""}]",221144164
